Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
North East and Yorkshire,16C,Tees Valley,A81032,The Garth (A81032),11286,0.8420000000000001,25243,8785,25318,0.997,0.348,0.347
North East and Yorkshire,16C,Tees Valley,A81034,Thornaby & Barwick Medical Group (A81034),21559,0.807,38166,1647,38289,0.997,0.043,0.043
North East and Yorkshire,16C,Tees Valley,A81035,Newlands Medical Centre (A81035),10052,0.6920000000000001,17004,4845,17125,0.993,0.285,0.283
North East and Yorkshire,16C,Tees Valley,A81036,Norton Medical Centre (A81036),17196,0.8240000000000001,36373,4434,36454,0.998,0.122,0.122
North East and Yorkshire,16C,Tees Valley,A81037,The Erimus Practice (A81037),7167,0.6779999999999999,13332,4692,13366,0.997,0.352,0.351
North East and Yorkshire,16C,Tees Valley,A81038,Hirsel Medical Centre (A81038),3828,0.818,8737,657,8749,0.999,0.075,0.075
North East and Yorkshire,16C,Tees Valley,A81039,Eaglescliffe Medical Practice (A81039),11441,0.799,18860,768,18914,0.997,0.0409999999999999,0.0409999999999999
North East and Yorkshire,16C,Tees Valley,A81040,Marsh House Medical Practice (A81040),8522,0.81,15729,990,15787,0.996,0.063,0.063
North East and Yorkshire,16C,Tees Valley,A81041,Hart Medical Practice (A81041),9412,0.8079999999999999,17511,4450,17532,0.999,0.254,0.254
North East and Yorkshire,16C,Tees Valley,A81042,South Grange Medical Group Practice (A81042),14616,0.8320000000000001,31208,12281,31230,0.999,0.3939999999999999,0.3929999999999999
North East and Yorkshire,16C,Tees Valley,A81043,The Manor House Surgery (A81043),8431,0.825,19445,7088,19690,0.988,0.365,0.36
North East and Yorkshire,16C,Tees Valley,A81044,Mckenzie House Surgery (A81044),18729,0.815,39815,22102,39827,1.0,0.555,0.555
North East and Yorkshire,16C,Tees Valley,A81045,The Coatham Road Surgery (A81045),6133,0.8290000000000001,14707,2418,14712,1.0,0.1639999999999999,0.1639999999999999
North East and Yorkshire,16C,Tees Valley,A81046,Woodlands Family Medical Centre (A81046),12136,0.799,22716,3990,22807,0.996,0.176,0.175
North East and Yorkshire,16C,Tees Valley,A81048,Zetland Medical Practice (A81048),7111,0.8420000000000001,17786,11707,17837,0.997,0.6579999999999999,0.6559999999999999
North East and Yorkshire,16C,Tees Valley,A81049,Kings Medical Centre (A81049),6550,0.8190000000000001,13333,5835,13785,0.967,0.4379999999999999,0.423
North East and Yorkshire,16C,Tees Valley,A81051,Cambridge Medical Group (A81051),6881,0.8,12653,6108,12746,0.993,0.483,0.479
North East and Yorkshire,16C,Tees Valley,A81052,The Green House Surgery (A81052),9823,0.878,23206,5405,23219,0.999,0.233,0.233
North East and Yorkshire,16C,Tees Valley,A81053,Woodside Surgery (A81053),6065,0.816,17815,5190,17856,0.998,0.291,0.291
North East and Yorkshire,16C,Tees Valley,A81054,The Saltscar Surgery (A81054),8529,0.8540000000000001,19898,2190,19921,0.999,0.11,0.11
North East and Yorkshire,16C,Tees Valley,A81056,Melrose Surgery (A81056),2480,0.9,4544,2445,4652,0.977,0.5379999999999999,0.526
North East and Yorkshire,16C,Tees Valley,A81057,Kingsway Medical Centre (A81057),9313,0.8590000000000001,19029,2499,19057,0.999,0.131,0.131
North East and Yorkshire,16C,Tees Valley,A81058,Coulby Medical Practice (A81058),9295,0.826,18518,7720,18758,0.987,0.417,0.412
North East and Yorkshire,16C,Tees Valley,A81060,The Koh Practice (A81060),5968,0.8540000000000001,12229,2582,12243,0.999,0.211,0.211
North East and Yorkshire,16C,Tees Valley,A81063,The Headland Medical Centre (A81063),5504,0.785,12297,4984,12298,1.0,0.405,0.405
North East and Yorkshire,16C,Tees Valley,A81064,The Discovery Practice (A81064),8215,0.613,11508,728,11688,0.985,0.063,0.062
North East and Yorkshire,16C,Tees Valley,A81065,The Eston Surgery (A81065),3835,0.821,7281,1530,7284,1.0,0.21,0.21
North East and Yorkshire,16C,Tees Valley,A81066,Park Lane Surgery (A81066),5200,0.3289999999999999,4122,81,10123,0.407,0.02,0.008
North East and Yorkshire,16C,Tees Valley,A81067,Alma Medical Centre (A81067),11596,0.73,21323,3617,21363,0.998,0.17,0.1689999999999999
North East and Yorkshire,16C,Tees Valley,A81070,Mckenzie Group Practice (A81070),6553,0.8240000000000001,10926,5274,10926,1.0,0.483,0.483
North East and Yorkshire,16C,Tees Valley,A81602,Dr Rasool (A81602),2300,0.8340000000000001,5944,128,5970,0.996,0.022,0.021
North East and Yorkshire,16C,Tees Valley,A81608,Elm Tree Surgery (A81608),8345,0.8270000000000001,16912,12536,16948,0.998,0.741,0.74
North East and Yorkshire,16C,Tees Valley,A81610,The Roseberry Practice (A81610),7966,0.774,13930,748,13950,0.999,0.054,0.054
North East and Yorkshire,16C,Tees Valley,A81611,Parkway Medical Centre (A81611),8149,0.8740000000000001,14470,4236,14938,0.969,0.293,0.284
North East and Yorkshire,16C,Tees Valley,A81612,The Patel Practice (A81612),3803,0.828,6493,1486,6499,0.999,0.2289999999999999,0.2289999999999999
North East and Yorkshire,16C,Tees Valley,A81618,Huntcliff Surgery (A81618),10039,0.855,23635,10410,24250,0.975,0.44,0.429
North East and Yorkshire,16C,Tees Valley,A81621,Thorntree Surgery (A81621),2580,0.83,6514,1522,6515,1.0,0.2339999999999999,0.2339999999999999
North East and Yorkshire,16C,Tees Valley,A81622,Gladstone House Surgery (A81622),5724,0.7809999999999999,10054,3193,10065,0.999,0.318,0.317
North East and Yorkshire,16C,Tees Valley,A81629,Riverside Medical Practice (A81629),5692,0.828,12224,1249,12267,0.996,0.102,0.102
North East and Yorkshire,16C,Tees Valley,A81630,Foundations (A81630),752,0.945,4759,2,7629,0.624,0.0,0.0
North East and Yorkshire,16C,Tees Valley,A81631,West View Millenium Surgery A (A81631),7179,0.851,12236,1200,12238,1.0,0.098,0.098
North East and Yorkshire,16C,Tees Valley,A81633,Foundations -Harris Street (A81633),1758,0.774,1172,0,1195,0.981,0.0,0.0
North East and Yorkshire,16C,Tees Valley,A81634,The Arrival Practice (A81634),2940,0.696,2375,21,2398,0.99,0.009,0.009
North West,01K,Morecambe Bay,A82003,Ulverston Health Centre (Murray) (A82003),11553,0.736,13932,20,16314,0.8540000000000001,0.001,0.001
North East and Yorkshire,01H,North Cumbria,A82004,Alston Medical Practice (A82004),2236,0.432,2683,1644,4670,0.575,0.613,0.352
North West,01K,Morecambe Bay,A82005,Ambleside Health Centre (A82005),6039,0.7659999999999999,10816,3936,11484,0.942,0.364,0.3429999999999999
North East and Yorkshire,01H,North Cumbria,A82006,Appleby Medical Practice (A82006),5033,0.8240000000000001,8820,3956,9180,0.961,0.449,0.431
North West,01K,Morecambe Bay,A82007,Duke Street Surgery (A82007),9771,0.8270000000000001,17931,29,18275,0.981,0.002,0.002
North West,01K,Morecambe Bay,A82008,Norwood Medical Centre (A82008),11078,0.787,21519,52,22061,0.975,0.002,0.002
North West,01K,Morecambe Bay,A82009,Bridgegate Medical Centre (A82009),8772,0.7929999999999999,17526,86,18799,0.932,0.005,0.005
North West,01K,Morecambe Bay,A82010,Abbey Road Surgery (A82010),6395,0.82,11197,682,11477,0.976,0.061,0.059
North East and Yorkshire,01H,North Cumbria,A82012,Brampton Medical Practice (A82012),16841,0.355,13412,3976,39736,0.3379999999999999,0.296,0.1
North East and Yorkshire,01H,North Cumbria,A82013,Upper Eden Medical Practice (A82013),6680,0.3879999999999999,5283,1195,13740,0.384,0.226,0.087
North East and Yorkshire,01H,North Cumbria,A82014,Caldbeck Surgery (A82014),4358,0.242,1404,133,7535,0.186,0.095,0.018
North East and Yorkshire,01H,North Cumbria,A82015,Warwick Road Surgery (A82015),5311,0.725,8367,533,8436,0.992,0.064,0.063
North East and Yorkshire,01H,North Cumbria,A82016,Carlisle Healthcare (A82016),37516,0.8220000000000001,60172,10118,61380,0.98,0.168,0.165
North East and Yorkshire,01H,North Cumbria,A82018,Spencer St Surgery (A82018),13139,0.815,17375,3833,17571,0.989,0.221,0.218
North East and Yorkshire,01H,North Cumbria,A82019,Fusehill Medical Practice (A82019),7882,0.7559999999999999,12285,618,12338,0.996,0.05,0.05
North East and Yorkshire,01H,North Cumbria,A82020,Eden Medical Group (A82020),16330,0.7979999999999999,23199,1636,24027,0.966,0.071,0.068
North East and Yorkshire,01H,North Cumbria,A82021,Castlegate And Derwent Surgery (A82021),17909,0.568,3,0,35645,0.0,0.0,0.0
North East and Yorkshire,01H,North Cumbria,A82022,Dalston Medical Group (A82022),5153,0.256,2345,370,10217,0.23,0.158,0.036
North East and Yorkshire,01H,North Cumbria,A82023,Distington Surgery (A82023),5569,0.39,4659,150,13676,0.341,0.032,0.011
North East and Yorkshire,01H,North Cumbria,A82024,Seascale Health Centre (A82024),5878,0.349,4995,148,12613,0.396,0.03,0.012
North West,01K,Morecambe Bay,A82025,Captain French Surgery (A82025),11026,0.8109999999999999,17379,6292,17762,0.978,0.362,0.354
North West,01K,Morecambe Bay,A82026,The James Cochrane Pract. (A82026),17483,0.67,22183,5993,29334,0.7559999999999999,0.27,0.204
North West,01K,Morecambe Bay,A82027,Station House Surgery (A82027),9932,0.657,15530,3542,19408,0.8,0.228,0.183
North East and Yorkshire,01H,North Cumbria,A82028,Castlehead Medical Centre (A82028),8381,0.584,9408,1985,13555,0.6940000000000001,0.211,0.146
North East and Yorkshire,01H,North Cumbria,A82029,The Croft Surgery (A82029),3473,0.2189999999999999,640,58,7368,0.087,0.091,0.008
North West,01K,Morecambe Bay,A82030,Lunesdale Surgery (A82030),6588,0.345,0,0,13786,0.0,,0.0
North East and Yorkshire,01H,North Cumbria,A82031,Shap Medical Practice (A82031),3189,0.132,297,67,7630,0.039,0.226,0.009
North East and Yorkshire,01H,North Cumbria,A82032,Maryport Health Services (A82032),13697,0.812,28879,1159,29551,0.977,0.04,0.039
North West,01K,Morecambe Bay,A82033,Waterloo House Surgery (A82033),8058,0.847,13585,30,15894,0.855,0.002,0.002
North East and Yorkshire,01H,North Cumbria,A82035,Birbeck Medical Group (A82035),14374,0.7290000000000001,19240,6055,19783,0.973,0.315,0.306
North East and Yorkshire,01H,North Cumbria,A82036,The Lakes Medical Practice (A82036),10898,0.8009999999999999,14902,305,14994,0.994,0.02,0.02
North East and Yorkshire,01H,North Cumbria,A82037,Silloth Group Medical Practice (A82037),4328,0.8809999999999999,10797,2188,10984,0.983,0.203,0.1989999999999999
North East and Yorkshire,01H,North Cumbria,A82038,Temple Sowerby Medical Practice (A82038),4882,0.239,1946,588,7503,0.259,0.302,0.078
North West,01K,Morecambe Bay,A82039,Dalton Surgery (A82039),8715,0.7809999999999999,15425,5,16069,0.96,0.0,0.0
North East and Yorkshire,01H,North Cumbria,A82041,Lowther Medical Centre (A82041),9971,0.7909999999999999,23914,4327,24074,0.993,0.181,0.18
North East and Yorkshire,01H,North Cumbria,A82044,Fellview Healthcare (A82044),24021,0.8340000000000001,53579,1902,54033,0.992,0.035,0.035
North East and Yorkshire,01H,North Cumbria,A82045,Wigton Group Medical Practice (A82045),8980,0.7829999999999999,17836,696,18689,0.954,0.039,0.037
North West,01K,Morecambe Bay,A82046,Windermere Health Centre (A82046),5069,0.64,5877,157,6357,0.924,0.027,0.025
North East and Yorkshire,01H,North Cumbria,A82047,James Street Group Pract (A82047),32999,0.777,67419,4470,72019,0.936,0.066,0.062
North West,01K,Morecambe Bay,A82053,Nutwood Medical Practice (A82053),7628,0.8390000000000001,18647,3051,19019,0.98,0.1639999999999999,0.16
North East and Yorkshire,01H,North Cumbria,A82055,Aspatria Medical Group (A82055),6869,0.865,13131,3062,14020,0.937,0.233,0.218
North East and Yorkshire,01H,North Cumbria,A82058,Queen Street Medical Practice (A82058),4372,0.8,10193,1735,10449,0.976,0.17,0.166
North West,01K,Morecambe Bay,A82062,Atkinson Health Centre (A82062),5179,0.81,8779,186,8824,0.995,0.021,0.021
North East and Yorkshire,01H,North Cumbria,A82064,Westcroft House Surgery (A82064),5348,0.856,12345,2015,12821,0.963,0.163,0.157
North West,01K,Morecambe Bay,A82068,Ulverston Community Health Centre (A82068),4526,0.752,5990,5,6690,0.895,0.001,0.001
North West,01K,Morecambe Bay,A82070,St. Mary'S Surgery (A82070),6570,0.695,9465,1000,11159,0.848,0.106,0.09
North West,01K,Morecambe Bay,A82071,Burnett Edgar Medical Ctr (A82071),4129,0.826,9563,446,9908,0.965,0.047,0.045
North West,01K,Morecambe Bay,A82072,Risedale Surgery (A82072),6738,0.8390000000000001,13453,3312,13785,0.976,0.246,0.24
North East and Yorkshire,01H,North Cumbria,A82075,Mansion House Surgery (A82075),7273,0.794,15588,961,15742,0.99,0.062,0.061
North West,01K,Morecambe Bay,A82077,Liverpool House Surgery (A82077),5211,0.888,11199,0,12047,0.93,0.0,0.0
North West,01K,Morecambe Bay,A82608,Sedbergh Medical Practice (A82608),4549,0.441,3551,61,6785,0.523,0.017,0.009
North West,01K,Morecambe Bay,A82613,Wraysdale House Surgery (A82613),1051,0.16,0,0,1623,0.0,,0.0
North East and Yorkshire,01H,North Cumbria,A82617,Kirkoswald Surgery (A82617),2718,0.04,65,9,5401,0.012,0.138,0.002
North East and Yorkshire,01H,North Cumbria,A82620,Glenridding Health Centre (A82620),932,0.359,274,1,1361,0.201,0.004,0.001
North West,01K,Morecambe Bay,A82629,The Family Practice (A82629),2953,0.8440000000000001,6921,1702,6942,0.997,0.246,0.245
North East and Yorkshire,01H,North Cumbria,A82631,Court Thorn Surgery (A82631),3690,0.253,722,1,7587,0.095,0.001,0.0
North East and Yorkshire,01H,North Cumbria,A82646,Longtown Medical Centre (A82646),3614,0.825,7781,1266,7940,0.98,0.163,0.159
North West,01K,Morecambe Bay,A82647,Cartmel Surgery (A82647),3056,0.369,2950,41,7197,0.41,0.0139999999999999,0.006
North West,01K,Morecambe Bay,A82650,Haverthwaite Surgery (A82650),2860,0.156,620,0,5499,0.113,0.0,0.0
North West,01K,Morecambe Bay,A82651,Duddon Valley Medical Practice (A82651),4846,0.2,0,0,9713,0.0,,0.0
North East and Yorkshire,01H,North Cumbria,A82654,Warwick Square Group Practice (A82654),7777,0.8059999999999999,14184,4677,14388,0.986,0.33,0.325
North East and Yorkshire,84H,County Durham,A83001,St Andrew'S Medical Practice (A83001),14968,0.856,32689,11758,37149,0.88,0.36,0.317
North East and Yorkshire,84H,County Durham,A83003,Willington Medical Group (A83003),9180,0.8009999999999999,21816,7303,22255,0.98,0.335,0.3279999999999999
North East and Yorkshire,16C,Tees Valley,A83005,Whinfield Medical Practice (A83005),12042,0.8140000000000001,27466,8516,27484,0.999,0.31,0.31
North East and Yorkshire,16C,Tees Valley,A83006,Orchard Court Surgery (A83006),8372,0.8440000000000001,14300,3465,14385,0.994,0.242,0.241
North East and Yorkshire,84H,County Durham,A83007,Blackhall And Peterlee Practice (A83007),10005,0.8490000000000001,28092,6532,28103,1.0,0.233,0.2319999999999999
North East and Yorkshire,84H,County Durham,A83008,Hallgarth Surgery (A83008),5298,0.894,15081,4646,15194,0.993,0.308,0.306
North East and Yorkshire,84H,County Durham,A83009,Bridge End Surgery (A83009),7989,0.821,17374,5662,17558,0.99,0.326,0.322
North East and Yorkshire,16C,Tees Valley,A83010,Moorlands Surgery (A83010),13488,0.797,37222,14060,37302,0.998,0.3779999999999999,0.377
North East and Yorkshire,84H,County Durham,A83011,Claypath & University Medical Group (A83011),34396,0.551,19870,4896,20144,0.986,0.246,0.243
North East and Yorkshire,84H,County Durham,A83012,William Brown Centre (A83012),15910,0.848,41591,7810,41927,0.992,0.188,0.186
North East and Yorkshire,16C,Tees Valley,A83013,Neasham Road Surgery (A83013),12891,0.823,25061,5818,25128,0.997,0.2319999999999999,0.2319999999999999
North East and Yorkshire,84H,County Durham,A83014,Belmont & Sherburn Medical Group (A83014),6310,0.768,12524,3676,12890,0.972,0.294,0.285
North East and Yorkshire,84H,County Durham,A83015,Station View Medical Centre (A83015),9900,0.883,25887,7352,26065,0.993,0.284,0.282
North East and Yorkshire,84H,County Durham,A83016,Tanfield View Medical Group (A83016),10812,0.8490000000000001,32576,11430,32774,0.994,0.351,0.349
North East and Yorkshire,84H,County Durham,A83018,Consett Medical Centre (A83018),17381,0.794,49353,20832,49498,0.997,0.422,0.421
North East and Yorkshire,84H,County Durham,A83020,North House Surgery (A83020),13435,0.897,31338,10721,31566,0.993,0.342,0.34
North East and Yorkshire,84H,County Durham,A83021,Auckland Medical Group (A83021),15180,0.7959999999999999,34227,6944,39026,0.877,0.203,0.178
North East and Yorkshire,84H,County Durham,A83022,The Medical Group (A83022),26795,0.863,60439,15485,60545,0.998,0.256,0.256
North East and Yorkshire,84H,County Durham,A83023,Stanley Medical Group (A83023),12225,0.8859999999999999,34578,12906,34639,0.998,0.373,0.373
North East and Yorkshire,84H,County Durham,A83024,West Rainton Surgery (A83024),5481,0.84,15133,7910,15692,0.964,0.523,0.504
North East and Yorkshire,84H,County Durham,A83025,Bishopgate Medical Centre (A83025),13276,0.914,37123,12400,37210,0.998,0.3339999999999999,0.3329999999999999
North East and Yorkshire,84H,County Durham,A83026,Sacriston Medical Centre (A83026),10683,0.767,23889,5982,25492,0.937,0.25,0.235
North East and Yorkshire,84H,County Durham,A83027,Coxhoe Medical Practice (A83027),7072,0.863,14415,4814,14565,0.99,0.3339999999999999,0.331
North East and Yorkshire,84H,County Durham,A83028,Middle Chare Medical Group (A83028),9383,0.83,26695,10616,26981,0.989,0.3979999999999999,0.3929999999999999
North East and Yorkshire,84H,County Durham,A83029,Great Lumley Surgery (A83029),5247,0.8490000000000001,16695,8802,16850,0.991,0.527,0.522
North East and Yorkshire,84H,County Durham,A83030,Dunelm Medical Practice (A83030),14301,0.797,27052,5884,27129,0.997,0.218,0.217
North East and Yorkshire,16C,Tees Valley,A83031,Carmel Medical Practice (A83031),11059,0.916,23112,244,23344,0.99,0.011,0.01
North East and Yorkshire,84H,County Durham,A83032,Woodview Medical Practice (A83032),2508,0.497,4338,63,7428,0.584,0.015,0.008
North East and Yorkshire,84H,County Durham,A83033,Pelton & Fellrose Medical Group (A83033),9281,0.8340000000000001,9515,2818,9679,0.983,0.296,0.291
North East and Yorkshire,16C,Tees Valley,A83034,Blacketts Medical Practice (A83034),10565,0.857,17983,5738,17998,0.999,0.319,0.319
North East and Yorkshire,84H,County Durham,A83035,The Weardale Practice (A83035),7173,0.8540000000000001,15642,1746,15770,0.992,0.1119999999999999,0.111
North East and Yorkshire,84H,County Durham,A83036,Chastleton Medical Group (A83036),10802,0.755,16595,1750,18632,0.8909999999999999,0.105,0.094
North East and Yorkshire,84H,County Durham,A83037,Bewick Crescent Surgery (A83037),13485,0.7190000000000001,32643,7656,36120,0.904,0.235,0.212
North East and Yorkshire,84H,County Durham,A83038,Cedars Medical Group (A83038),5879,0.826,10278,1842,10684,0.962,0.179,0.172
North East and Yorkshire,16C,Tees Valley,A83040,Clifton Court Medical Practice (A83040),11823,0.8290000000000001,24215,11167,24242,0.999,0.461,0.461
North East and Yorkshire,84H,County Durham,A83041,Murton Medical Centre (A83041),7225,0.855,26097,11810,26116,0.999,0.4529999999999999,0.452
North East and Yorkshire,84H,County Durham,A83043,Old Forge Surgery (A83043),2707,0.4629999999999999,3554,1294,6978,0.509,0.364,0.185
North East and Yorkshire,84H,County Durham,A83044,The Horden Group Practice (A83044),7794,0.865,19445,5059,19466,0.999,0.26,0.26
North East and Yorkshire,84H,County Durham,A83045,Ferryhill And Chilton Medical Practice (A83045),14957,0.873,42050,15439,42232,0.996,0.367,0.366
North East and Yorkshire,84H,County Durham,A83046,Barnard Castle Surgery (A83046),10854,0.563,16328,4912,22999,0.71,0.301,0.214
North East and Yorkshire,16C,Tees Valley,A83047,Denmark Street Surgery (A83047),15272,0.78,32403,12826,32643,0.993,0.396,0.3929999999999999
North East and Yorkshire,16C,Tees Valley,A83048,Rockliffe Court Surgery (A83048),5984,0.5820000000000001,9127,5250,13506,0.6759999999999999,0.575,0.389
North East and Yorkshire,84H,County Durham,A83049,Queens Road Surgery (A83049),15257,0.863,34138,15421,34239,0.997,0.452,0.45
North East and Yorkshire,84H,County Durham,A83050,Cestria Health Centre (A83050),12760,0.855,27575,7900,28162,0.979,0.286,0.281
North East and Yorkshire,84H,County Durham,A83051,Marlborough Surgery (A83051),10986,0.86,30941,14657,31215,0.991,0.474,0.47
North East and Yorkshire,84H,County Durham,A83052,Bishops Close Medical Practice (A83052),8704,0.8640000000000001,25263,9584,25289,0.999,0.379,0.379
North East and Yorkshire,84H,County Durham,A83054,Skerne Medical Group (A83054),16231,0.857,32420,10090,32625,0.994,0.311,0.309
North East and Yorkshire,84H,County Durham,A83055,Cheveley Park Medical Ctr (A83055),4843,0.7979999999999999,8096,1690,8154,0.993,0.209,0.207
North East and Yorkshire,84H,County Durham,A83057,East Durham Medical Group (A83057),18130,0.8740000000000001,53078,13530,53121,0.999,0.255,0.255
North East and Yorkshire,84H,County Durham,A83060,Pinfold Medical Practice (A83060),2992,0.406,4223,1240,7719,0.547,0.294,0.161
North East and Yorkshire,84H,County Durham,A83061,Gainford Surgery (A83061),3510,0.089,546,0,6899,0.079,0.0,0.0
North East and Yorkshire,84H,County Durham,A83066,Jubilee Medical Group (A83066),11566,0.8320000000000001,28862,12932,28889,0.999,0.4479999999999999,0.4479999999999999
North East and Yorkshire,16C,Tees Valley,A83070,St George'S Medical Practice (A83070),5733,0.887,13370,2985,13405,0.997,0.223,0.223
North East and Yorkshire,84H,County Durham,A83071,The New Seaham Medical Group (A83071),4675,0.848,11002,4887,11113,0.99,0.444,0.44
North East and Yorkshire,84H,County Durham,A83072,Lanchester Medical Centre (A83072),4155,0.851,7855,3662,7926,0.991,0.466,0.462
North East and Yorkshire,84H,County Durham,A83073,Drs Lambert & Ng (A83073),5115,0.862,14951,4107,15012,0.996,0.275,0.2739999999999999
North East and Yorkshire,84H,County Durham,A83074,Pease Way Medical Centre (A83074),12182,0.8959999999999999,24019,4678,24115,0.996,0.195,0.1939999999999999
North East and Yorkshire,84H,County Durham,A83075,Byron Medical Practice (A83075),8410,0.8220000000000001,28617,12820,28661,0.998,0.4479999999999999,0.447
North East and Yorkshire,84H,County Durham,A83610,Wingate Medical Practice Intrahealth (A83610),3344,0.956,9156,1722,9184,0.997,0.188,0.188
North East and Yorkshire,84H,County Durham,A83616,Bevan Medical Group (A83616),7931,0.863,21797,6798,21823,0.999,0.312,0.312
North East and Yorkshire,84H,County Durham,A83617,Browney House Surgery (A83617),2598,0.8190000000000001,7105,2035,7402,0.96,0.286,0.275
North East and Yorkshire,84H,County Durham,A83618,Oakfields Health Group (A83618),7643,0.638,15972,5288,21241,0.752,0.331,0.249
North East and Yorkshire,84H,County Durham,A83619,Southdene Medical Centre (A83619),3528,0.846,9623,3414,9640,0.998,0.355,0.354
North East and Yorkshire,84H,County Durham,A83622,The Haven Surgery (A83622),1699,0.245,1333,360,4600,0.29,0.27,0.078
North East and Yorkshire,84H,County Durham,A83626,Evenwood Medical Practice (A83626),2142,0.2319999999999999,1968,984,5503,0.358,0.5,0.179
North East and Yorkshire,84H,County Durham,A83627,Silverdale Family Practice (A83627),6339,0.872,12846,5464,12917,0.995,0.425,0.423
North East and Yorkshire,84H,County Durham,A83634,West Cornforth Medical Centre (A83634),2812,0.991,11250,4870,11261,0.999,0.433,0.432
North East and Yorkshire,84H,County Durham,A83635,Bowburn Medical Centre (A83635),4180,0.764,7777,2717,7797,0.997,0.349,0.348
North East and Yorkshire,84H,County Durham,A83636,Leadgate Surgery (A83636),6071,0.809,16824,5032,16917,0.995,0.299,0.297
North East and Yorkshire,84H,County Durham,A83637,Villages Medical Group (A83637),4256,0.848,9314,2954,9321,0.999,0.317,0.317
North East and Yorkshire,16C,Tees Valley,A83641,Parkgate Surgery (A83641),4704,0.74,8759,2761,8764,0.999,0.315,0.315
North East and Yorkshire,84H,County Durham,A83644,Annfield Plain Surgery (A83644),3517,0.82,10471,3126,10603,0.988,0.299,0.295
North East and Yorkshire,00L,Northumberland,A84002,The Rothbury Practice (A84002),6032,0.879,8976,651,9096,0.987,0.073,0.072
