Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
North East and Yorkshire,16C,Tees Valley,A81030,Borough Road & Nunthorpe Medical Group (A81030),15074,83.5%,27735,8799,27739,100.0%,31.7%,31.7%
North East and Yorkshire,16C,Tees Valley,A81031,Havelock Grange Practice (A81031),13186,78.0%,25347,5993,25452,99.6%,23.6%,23.5%
North East and Yorkshire,16C,Tees Valley,A81032,The Garth (A81032),11286,84.2%,25243,8785,25318,99.7%,34.8%,34.7%
North East and Yorkshire,16C,Tees Valley,A81034,Thornaby & Barwick Medical Group (A81034),21559,80.7%,38166,1647,38289,99.7%,4.3%,4.3%
North East and Yorkshire,16C,Tees Valley,A81035,Newlands Medical Centre (A81035),10052,69.2%,17004,4845,17125,99.3%,28.5%,28.3%
North East and Yorkshire,16C,Tees Valley,A81036,Norton Medical Centre (A81036),17196,82.4%,36373,4434,36454,99.8%,12.2%,12.2%
North East and Yorkshire,16C,Tees Valley,A81037,The Erimus Practice (A81037),7167,67.8%,13332,4692,13366,99.7%,35.2%,35.1%
North East and Yorkshire,16C,Tees Valley,A81038,Hirsel Medical Centre (A81038),3828,81.8%,8737,657,8749,99.9%,7.5%,7.5%
North East and Yorkshire,16C,Tees Valley,A81039,Eaglescliffe Medical Practice (A81039),11441,79.9%,18860,768,18914,99.7%,4.1%,4.1%
North East and Yorkshire,16C,Tees Valley,A81040,Marsh House Medical Practice (A81040),8522,81.0%,15729,990,15787,99.6%,6.3%,6.3%
North East and Yorkshire,16C,Tees Valley,A81041,Hart Medical Practice (A81041),9412,80.8%,17511,4450,17532,99.9%,25.4%,25.4%
North East and Yorkshire,16C,Tees Valley,A81042,South Grange Medical Group Practice (A81042),14616,83.2%,31208,12281,31230,99.9%,39.4%,39.3%
North East and Yorkshire,16C,Tees Valley,A81043,The Manor House Surgery (A81043),8431,82.5%,19445,7088,19690,98.8%,36.5%,36.0%
North East and Yorkshire,16C,Tees Valley,A81044,Mckenzie House Surgery (A81044),18729,81.5%,39815,22102,39827,100.0%,55.5%,55.5%
North East and Yorkshire,16C,Tees Valley,A81045,The Coatham Road Surgery (A81045),6133,82.9%,14707,2418,14712,100.0%,16.4%,16.4%
North East and Yorkshire,16C,Tees Valley,A81046,Woodlands Family Medical Centre (A81046),12136,79.9%,22716,3990,22807,99.6%,17.6%,17.5%
North East and Yorkshire,16C,Tees Valley,A81048,Zetland Medical Practice (A81048),7111,84.2%,17786,11707,17837,99.7%,65.8%,65.6%
North East and Yorkshire,16C,Tees Valley,A81049,Kings Medical Centre (A81049),6550,81.9%,13333,5835,13785,96.7%,43.8%,42.3%
North East and Yorkshire,16C,Tees Valley,A81051,Cambridge Medical Group (A81051),6881,80.0%,12653,6108,12746,99.3%,48.3%,47.9%
North East and Yorkshire,16C,Tees Valley,A81052,The Green House Surgery (A81052),9823,87.8%,23206,5405,23219,99.9%,23.3%,23.3%
North East and Yorkshire,16C,Tees Valley,A81053,Woodside Surgery (A81053),6065,81.6%,17815,5190,17856,99.8%,29.1%,29.1%
North East and Yorkshire,16C,Tees Valley,A81054,The Saltscar Surgery (A81054),8529,85.4%,19898,2190,19921,99.9%,11.0%,11.0%
North East and Yorkshire,16C,Tees Valley,A81056,Melrose Surgery (A81056),2480,90.0%,4544,2445,4652,97.7%,53.8%,52.6%
North East and Yorkshire,16C,Tees Valley,A81057,Kingsway Medical Centre (A81057),9313,85.9%,19029,2499,19057,99.9%,13.1%,13.1%
North East and Yorkshire,16C,Tees Valley,A81058,Coulby Medical Practice (A81058),9295,82.6%,18518,7720,18758,98.7%,41.7%,41.2%
North East and Yorkshire,16C,Tees Valley,A81060,The Koh Practice (A81060),5968,85.4%,12229,2582,12243,99.9%,21.1%,21.1%
North East and Yorkshire,16C,Tees Valley,A81063,The Headland Medical Centre (A81063),5504,78.5%,12297,4984,12298,100.0%,40.5%,40.5%
North East and Yorkshire,16C,Tees Valley,A81064,The Discovery Practice (A81064),8215,61.3%,11508,728,11688,98.5%,6.3%,6.2%
North East and Yorkshire,16C,Tees Valley,A81065,The Eston Surgery (A81065),3835,82.1%,7281,1530,7284,100.0%,21.0%,21.0%
North East and Yorkshire,16C,Tees Valley,A81066,Park Lane Surgery (A81066),5200,32.9%,4122,81,10123,40.7%,2.0%,0.8%
North East and Yorkshire,16C,Tees Valley,A81067,Alma Medical Centre (A81067),11596,73.0%,21323,3617,21363,99.8%,17.0%,16.9%
North East and Yorkshire,16C,Tees Valley,A81070,Mckenzie Group Practice (A81070),6553,82.4%,10926,5274,10926,100.0%,48.3%,48.3%
North East and Yorkshire,16C,Tees Valley,A81602,Dr Rasool (A81602),2300,83.4%,5944,128,5970,99.6%,2.2%,2.1%
North East and Yorkshire,16C,Tees Valley,A81608,Elm Tree Surgery (A81608),8345,82.7%,16912,12536,16948,99.8%,74.1%,74.0%
North East and Yorkshire,16C,Tees Valley,A81610,The Roseberry Practice (A81610),7966,77.4%,13930,748,13950,99.9%,5.4%,5.4%
North East and Yorkshire,16C,Tees Valley,A81611,Parkway Medical Centre (A81611),8149,87.4%,14470,4236,14938,96.9%,29.3%,28.4%
North East and Yorkshire,16C,Tees Valley,A81612,The Patel Practice (A81612),3803,82.8%,6493,1486,6499,99.9%,22.9%,22.9%
North East and Yorkshire,16C,Tees Valley,A81618,Huntcliff Surgery (A81618),10039,85.5%,23635,10410,24250,97.5%,44.0%,42.9%
North East and Yorkshire,16C,Tees Valley,A81621,Thorntree Surgery (A81621),2580,83.0%,6514,1522,6515,100.0%,23.4%,23.4%
North East and Yorkshire,16C,Tees Valley,A81622,Gladstone House Surgery (A81622),5724,78.1%,10054,3193,10065,99.9%,31.8%,31.7%
North East and Yorkshire,16C,Tees Valley,A81629,Riverside Medical Practice (A81629),5692,82.8%,12224,1249,12267,99.6%,10.2%,10.2%
North East and Yorkshire,16C,Tees Valley,A81630,Foundations (A81630),752,94.5%,4759,2,7629,62.4%,0.0%,0.0%
North East and Yorkshire,16C,Tees Valley,A81631,West View Millenium Surgery A (A81631),7179,85.1%,12236,1200,12238,100.0%,9.8%,9.8%
North East and Yorkshire,16C,Tees Valley,A81633,Foundations -Harris Street (A81633),1758,77.4%,1172,0,1195,98.1%,0.0%,0.0%
North East and Yorkshire,16C,Tees Valley,A81634,The Arrival Practice (A81634),2940,69.6%,2375,21,2398,99.0%,0.9%,0.9%
North West,01K,Morecambe Bay,A82003,Ulverston Health Centre (Murray) (A82003),11553,73.6%,13932,20,16314,85.4%,0.1%,0.1%
North East and Yorkshire,01H,North Cumbria,A82004,Alston Medical Practice (A82004),2236,43.2%,2683,1644,4670,57.5%,61.3%,35.2%
North West,01K,Morecambe Bay,A82005,Ambleside Health Centre (A82005),6039,76.6%,10816,3936,11484,94.2%,36.4%,34.3%
North East and Yorkshire,01H,North Cumbria,A82006,Appleby Medical Practice (A82006),5033,82.4%,8820,3956,9180,96.1%,44.9%,43.1%
North West,01K,Morecambe Bay,A82007,Duke Street Surgery (A82007),9771,82.7%,17931,29,18275,98.1%,0.2%,0.2%
North West,01K,Morecambe Bay,A82008,Norwood Medical Centre (A82008),11078,78.7%,21519,52,22061,97.5%,0.2%,0.2%
North West,01K,Morecambe Bay,A82009,Bridgegate Medical Centre (A82009),8772,79.3%,17526,86,18799,93.2%,0.5%,0.5%
North West,01K,Morecambe Bay,A82010,Abbey Road Surgery (A82010),6395,82.0%,11197,682,11477,97.6%,6.1%,5.9%
North East and Yorkshire,01H,North Cumbria,A82012,Brampton Medical Practice (A82012),16841,35.5%,13412,3976,39736,33.8%,29.6%,10.0%
North East and Yorkshire,01H,North Cumbria,A82013,Upper Eden Medical Practice (A82013),6680,38.8%,5283,1195,13740,38.4%,22.6%,8.7%
North East and Yorkshire,01H,North Cumbria,A82014,Caldbeck Surgery (A82014),4358,24.2%,1404,133,7535,18.6%,9.5%,1.8%
North East and Yorkshire,01H,North Cumbria,A82015,Warwick Road Surgery (A82015),5311,72.5%,8367,533,8436,99.2%,6.4%,6.3%
North East and Yorkshire,01H,North Cumbria,A82016,Carlisle Healthcare (A82016),37516,82.2%,60172,10118,61380,98.0%,16.8%,16.5%
North East and Yorkshire,01H,North Cumbria,A82018,Spencer St Surgery (A82018),13139,81.5%,17375,3833,17571,98.9%,22.1%,21.8%
North East and Yorkshire,01H,North Cumbria,A82019,Fusehill Medical Practice (A82019),7882,75.6%,12285,618,12338,99.6%,5.0%,5.0%
North East and Yorkshire,01H,North Cumbria,A82020,Eden Medical Group (A82020),16330,79.8%,23199,1636,24027,96.6%,7.1%,6.8%
North East and Yorkshire,01H,North Cumbria,A82021,Castlegate And Derwent Surgery (A82021),17909,56.8%,3,0,35645,0.0%,0.0%,0.0%
North East and Yorkshire,01H,North Cumbria,A82022,Dalston Medical Group (A82022),5153,25.6%,2345,370,10217,23.0%,15.8%,3.6%
North East and Yorkshire,01H,North Cumbria,A82023,Distington Surgery (A82023),5569,39.0%,4659,150,13676,34.1%,3.2%,1.1%
North East and Yorkshire,01H,North Cumbria,A82024,Seascale Health Centre (A82024),5878,34.9%,4995,148,12613,39.6%,3.0%,1.2%
North West,01K,Morecambe Bay,A82025,Captain French Surgery (A82025),11026,81.1%,17379,6292,17762,97.8%,36.2%,35.4%
North West,01K,Morecambe Bay,A82026,The James Cochrane Pract. (A82026),17483,67.0%,22183,5993,29334,75.6%,27.0%,20.4%
North West,01K,Morecambe Bay,A82027,Station House Surgery (A82027),9932,65.7%,15530,3542,19408,80.0%,22.8%,18.3%
North East and Yorkshire,01H,North Cumbria,A82028,Castlehead Medical Centre (A82028),8381,58.4%,9408,1985,13555,69.4%,21.1%,14.6%
North East and Yorkshire,01H,North Cumbria,A82029,The Croft Surgery (A82029),3473,21.9%,640,58,7368,8.7%,9.1%,0.8%
North West,01K,Morecambe Bay,A82030,Lunesdale Surgery (A82030),6588,34.5%,0,0,13786,0.0%,,0.0%
North East and Yorkshire,01H,North Cumbria,A82031,Shap Medical Practice (A82031),3189,13.2%,297,67,7630,3.9%,22.6%,0.9%
North East and Yorkshire,01H,North Cumbria,A82032,Maryport Health Services (A82032),13697,81.2%,28879,1159,29551,97.7%,4.0%,3.9%
North West,01K,Morecambe Bay,A82033,Waterloo House Surgery (A82033),8058,84.7%,13585,30,15894,85.5%,0.2%,0.2%
North East and Yorkshire,01H,North Cumbria,A82035,Birbeck Medical Group (A82035),14374,72.9%,19240,6055,19783,97.3%,31.5%,30.6%
North East and Yorkshire,01H,North Cumbria,A82036,The Lakes Medical Practice (A82036),10898,80.1%,14902,305,14994,99.4%,2.0%,2.0%
North East and Yorkshire,01H,North Cumbria,A82037,Silloth Group Medical Practice (A82037),4328,88.1%,10797,2188,10984,98.3%,20.3%,19.9%
North East and Yorkshire,01H,North Cumbria,A82038,Temple Sowerby Medical Practice (A82038),4882,23.9%,1946,588,7503,25.9%,30.2%,7.8%
North West,01K,Morecambe Bay,A82039,Dalton Surgery (A82039),8715,78.1%,15425,5,16069,96.0%,0.0%,0.0%
North East and Yorkshire,01H,North Cumbria,A82041,Lowther Medical Centre (A82041),9971,79.1%,23914,4327,24074,99.3%,18.1%,18.0%
North East and Yorkshire,01H,North Cumbria,A82044,Fellview Healthcare (A82044),24021,83.4%,53579,1902,54033,99.2%,3.5%,3.5%
North East and Yorkshire,01H,North Cumbria,A82045,Wigton Group Medical Practice (A82045),8980,78.3%,17836,696,18689,95.4%,3.9%,3.7%
North West,01K,Morecambe Bay,A82046,Windermere Health Centre (A82046),5069,64.0%,5877,157,6357,92.4%,2.7%,2.5%
North East and Yorkshire,01H,North Cumbria,A82047,James Street Group Pract (A82047),32999,77.7%,67419,4470,72019,93.6%,6.6%,6.2%
North West,01K,Morecambe Bay,A82053,Nutwood Medical Practice (A82053),7628,83.9%,18647,3051,19019,98.0%,16.4%,16.0%
North East and Yorkshire,01H,North Cumbria,A82055,Aspatria Medical Group (A82055),6869,86.5%,13131,3062,14020,93.7%,23.3%,21.8%
North East and Yorkshire,01H,North Cumbria,A82058,Queen Street Medical Practice (A82058),4372,80.0%,10193,1735,10449,97.6%,17.0%,16.6%
North West,01K,Morecambe Bay,A82062,Atkinson Health Centre (A82062),5179,81.0%,8779,186,8824,99.5%,2.1%,2.1%
North East and Yorkshire,01H,North Cumbria,A82064,Westcroft House Surgery (A82064),5348,85.6%,12345,2015,12821,96.3%,16.3%,15.7%
North West,01K,Morecambe Bay,A82068,Ulverston Community Health Centre (A82068),4526,75.2%,5990,5,6690,89.5%,0.1%,0.1%
North West,01K,Morecambe Bay,A82070,St. Mary'S Surgery (A82070),6570,69.5%,9465,1000,11159,84.8%,10.6%,9.0%
North West,01K,Morecambe Bay,A82071,Burnett Edgar Medical Ctr (A82071),4129,82.6%,9563,446,9908,96.5%,4.7%,4.5%
North West,01K,Morecambe Bay,A82072,Risedale Surgery (A82072),6738,83.9%,13453,3312,13785,97.6%,24.6%,24.0%
North East and Yorkshire,01H,North Cumbria,A82075,Mansion House Surgery (A82075),7273,79.4%,15588,961,15742,99.0%,6.2%,6.1%
North West,01K,Morecambe Bay,A82077,Liverpool House Surgery (A82077),5211,88.8%,11199,0,12047,93.0%,0.0%,0.0%
North West,01K,Morecambe Bay,A82608,Sedbergh Medical Practice (A82608),4549,44.1%,3551,61,6785,52.3%,1.7%,0.9%
North West,01K,Morecambe Bay,A82613,Wraysdale House Surgery (A82613),1051,16.0%,0,0,1623,0.0%,,0.0%
North East and Yorkshire,01H,North Cumbria,A82617,Kirkoswald Surgery (A82617),2718,4.0%,65,9,5401,1.2%,13.8%,0.2%
North East and Yorkshire,01H,North Cumbria,A82620,Glenridding Health Centre (A82620),932,35.9%,274,1,1361,20.1%,0.4%,0.1%
North West,01K,Morecambe Bay,A82629,The Family Practice (A82629),2953,84.4%,6921,1702,6942,99.7%,24.6%,24.5%
North East and Yorkshire,01H,North Cumbria,A82631,Court Thorn Surgery (A82631),3690,25.3%,722,1,7587,9.5%,0.1%,0.0%
North East and Yorkshire,01H,North Cumbria,A82646,Longtown Medical Centre (A82646),3614,82.5%,7781,1266,7940,98.0%,16.3%,15.9%
North West,01K,Morecambe Bay,A82647,Cartmel Surgery (A82647),3056,36.9%,2950,41,7197,41.0%,1.4%,0.6%
North West,01K,Morecambe Bay,A82650,Haverthwaite Surgery (A82650),2860,15.6%,620,0,5499,11.3%,0.0%,0.0%
North West,01K,Morecambe Bay,A82651,Duddon Valley Medical Practice (A82651),4846,20.0%,0,0,9713,0.0%,,0.0%
North East and Yorkshire,01H,North Cumbria,A82654,Warwick Square Group Practice (A82654),7777,80.6%,14184,4677,14388,98.6%,33.0%,32.5%
North East and Yorkshire,84H,County Durham,A83001,St Andrew'S Medical Practice (A83001),14968,85.6%,32689,11758,37149,88.0%,36.0%,31.7%
North East and Yorkshire,84H,County Durham,A83003,Willington Medical Group (A83003),9180,80.1%,21816,7303,22255,98.0%,33.5%,32.8%
North East and Yorkshire,16C,Tees Valley,A83005,Whinfield Medical Practice (A83005),12042,81.4%,27466,8516,27484,99.9%,31.0%,31.0%
North East and Yorkshire,16C,Tees Valley,A83006,Orchard Court Surgery (A83006),8372,84.4%,14300,3465,14385,99.4%,24.2%,24.1%
North East and Yorkshire,84H,County Durham,A83007,Blackhall And Peterlee Practice (A83007),10005,84.9%,28092,6532,28103,100.0%,23.3%,23.2%
North East and Yorkshire,84H,County Durham,A83008,Hallgarth Surgery (A83008),5298,89.4%,15081,4646,15194,99.3%,30.8%,30.6%
North East and Yorkshire,84H,County Durham,A83009,Bridge End Surgery (A83009),7989,82.1%,17374,5662,17558,99.0%,32.6%,32.2%
North East and Yorkshire,16C,Tees Valley,A83010,Moorlands Surgery (A83010),13488,79.7%,37222,14060,37302,99.8%,37.8%,37.7%
North East and Yorkshire,84H,County Durham,A83011,Claypath & University Medical Group (A83011),34396,55.1%,19870,4896,20144,98.6%,24.6%,24.3%
North East and Yorkshire,84H,County Durham,A83012,William Brown Centre (A83012),15910,84.8%,41591,7810,41927,99.2%,18.8%,18.6%
North East and Yorkshire,16C,Tees Valley,A83013,Neasham Road Surgery (A83013),12891,82.3%,25061,5818,25128,99.7%,23.2%,23.2%
North East and Yorkshire,84H,County Durham,A83014,Belmont & Sherburn Medical Group (A83014),6310,76.8%,12524,3676,12890,97.2%,29.4%,28.5%
North East and Yorkshire,84H,County Durham,A83015,Station View Medical Centre (A83015),9900,88.3%,25887,7352,26065,99.3%,28.4%,28.2%
North East and Yorkshire,84H,County Durham,A83016,Tanfield View Medical Group (A83016),10812,84.9%,32576,11430,32774,99.4%,35.1%,34.9%
North East and Yorkshire,84H,County Durham,A83018,Consett Medical Centre (A83018),17381,79.4%,49353,20832,49498,99.7%,42.2%,42.1%
North East and Yorkshire,84H,County Durham,A83020,North House Surgery (A83020),13435,89.7%,31338,10721,31566,99.3%,34.2%,34.0%
North East and Yorkshire,84H,County Durham,A83021,Auckland Medical Group (A83021),15180,79.6%,34227,6944,39026,87.7%,20.3%,17.8%
North East and Yorkshire,84H,County Durham,A83022,The Medical Group (A83022),26795,86.3%,60439,15485,60545,99.8%,25.6%,25.6%
North East and Yorkshire,84H,County Durham,A83023,Stanley Medical Group (A83023),12225,88.6%,34578,12906,34639,99.8%,37.3%,37.3%
North East and Yorkshire,84H,County Durham,A83024,West Rainton Surgery (A83024),5481,84.0%,15133,7910,15692,96.4%,52.3%,50.4%
North East and Yorkshire,84H,County Durham,A83025,Bishopgate Medical Centre (A83025),13276,91.4%,37123,12400,37210,99.8%,33.4%,33.3%
North East and Yorkshire,84H,County Durham,A83026,Sacriston Medical Centre (A83026),10683,76.7%,23889,5982,25492,93.7%,25.0%,23.5%
North East and Yorkshire,84H,County Durham,A83027,Coxhoe Medical Practice (A83027),7072,86.3%,14415,4814,14565,99.0%,33.4%,33.1%
North East and Yorkshire,84H,County Durham,A83028,Middle Chare Medical Group (A83028),9383,83.0%,26695,10616,26981,98.9%,39.8%,39.3%
North East and Yorkshire,84H,County Durham,A83029,Great Lumley Surgery (A83029),5247,84.9%,16695,8802,16850,99.1%,52.7%,52.2%
North East and Yorkshire,84H,County Durham,A83030,Dunelm Medical Practice (A83030),14301,79.7%,27052,5884,27129,99.7%,21.8%,21.7%
North East and Yorkshire,16C,Tees Valley,A83031,Carmel Medical Practice (A83031),11059,91.6%,23112,244,23344,99.0%,1.1%,1.0%
North East and Yorkshire,84H,County Durham,A83032,Woodview Medical Practice (A83032),2508,49.7%,4338,63,7428,58.4%,1.5%,0.8%
North East and Yorkshire,84H,County Durham,A83033,Pelton & Fellrose Medical Group (A83033),9281,83.4%,9515,2818,9679,98.3%,29.6%,29.1%
North East and Yorkshire,16C,Tees Valley,A83034,Blacketts Medical Practice (A83034),10565,85.7%,17983,5738,17998,99.9%,31.9%,31.9%
North East and Yorkshire,84H,County Durham,A83035,The Weardale Practice (A83035),7173,85.4%,15642,1746,15770,99.2%,11.2%,11.1%
North East and Yorkshire,84H,County Durham,A83036,Chastleton Medical Group (A83036),10802,75.5%,16595,1750,18632,89.1%,10.5%,9.4%
North East and Yorkshire,84H,County Durham,A83037,Bewick Crescent Surgery (A83037),13485,71.9%,32643,7656,36120,90.4%,23.5%,21.2%
North East and Yorkshire,84H,County Durham,A83038,Cedars Medical Group (A83038),5879,82.6%,10278,1842,10684,96.2%,17.9%,17.2%
North East and Yorkshire,16C,Tees Valley,A83040,Clifton Court Medical Practice (A83040),11823,82.9%,24215,11167,24242,99.9%,46.1%,46.1%
North East and Yorkshire,84H,County Durham,A83041,Murton Medical Centre (A83041),7225,85.5%,26097,11810,26116,99.9%,45.3%,45.2%
North East and Yorkshire,84H,County Durham,A83043,Old Forge Surgery (A83043),2707,46.3%,3554,1294,6978,50.9%,36.4%,18.5%
North East and Yorkshire,84H,County Durham,A83044,The Horden Group Practice (A83044),7794,86.5%,19445,5059,19466,99.9%,26.0%,26.0%
North East and Yorkshire,84H,County Durham,A83045,Ferryhill And Chilton Medical Practice (A83045),14957,87.3%,42050,15439,42232,99.6%,36.7%,36.6%
North East and Yorkshire,84H,County Durham,A83046,Barnard Castle Surgery (A83046),10854,56.3%,16328,4912,22999,71.0%,30.1%,21.4%
North East and Yorkshire,16C,Tees Valley,A83047,Denmark Street Surgery (A83047),15272,78.0%,32403,12826,32643,99.3%,39.6%,39.3%
North East and Yorkshire,16C,Tees Valley,A83048,Rockliffe Court Surgery (A83048),5984,58.2%,9127,5250,13506,67.6%,57.5%,38.9%
North East and Yorkshire,84H,County Durham,A83049,Queens Road Surgery (A83049),15257,86.3%,34138,15421,34239,99.7%,45.2%,45.0%
North East and Yorkshire,84H,County Durham,A83050,Cestria Health Centre (A83050),12760,85.5%,27575,7900,28162,97.9%,28.6%,28.1%
North East and Yorkshire,84H,County Durham,A83051,Marlborough Surgery (A83051),10986,86.0%,30941,14657,31215,99.1%,47.4%,47.0%
North East and Yorkshire,84H,County Durham,A83052,Bishops Close Medical Practice (A83052),8704,86.4%,25263,9584,25289,99.9%,37.9%,37.9%
North East and Yorkshire,84H,County Durham,A83054,Skerne Medical Group (A83054),16231,85.7%,32420,10090,32625,99.4%,31.1%,30.9%
North East and Yorkshire,84H,County Durham,A83055,Cheveley Park Medical Ctr (A83055),4843,79.8%,8096,1690,8154,99.3%,20.9%,20.7%
North East and Yorkshire,84H,County Durham,A83057,East Durham Medical Group (A83057),18130,87.4%,53078,13530,53121,99.9%,25.5%,25.5%
North East and Yorkshire,84H,County Durham,A83060,Pinfold Medical Practice (A83060),2992,40.6%,4223,1240,7719,54.7%,29.4%,16.1%
North East and Yorkshire,84H,County Durham,A83061,Gainford Surgery (A83061),3510,8.9%,546,0,6899,7.9%,0.0%,0.0%
North East and Yorkshire,84H,County Durham,A83066,Jubilee Medical Group (A83066),11566,83.2%,28862,12932,28889,99.9%,44.8%,44.8%
North East and Yorkshire,16C,Tees Valley,A83070,St George'S Medical Practice (A83070),5733,88.7%,13370,2985,13405,99.7%,22.3%,22.3%
North East and Yorkshire,84H,County Durham,A83071,The New Seaham Medical Group (A83071),4675,84.8%,11002,4887,11113,99.0%,44.4%,44.0%
North East and Yorkshire,84H,County Durham,A83072,Lanchester Medical Centre (A83072),4155,85.1%,7855,3662,7926,99.1%,46.6%,46.2%
North East and Yorkshire,84H,County Durham,A83073,Drs Lambert & Ng (A83073),5115,86.2%,14951,4107,15012,99.6%,27.5%,27.4%
North East and Yorkshire,84H,County Durham,A83074,Pease Way Medical Centre (A83074),12182,89.6%,24019,4678,24115,99.6%,19.5%,19.4%
North East and Yorkshire,84H,County Durham,A83075,Byron Medical Practice (A83075),8410,82.2%,28617,12820,28661,99.8%,44.8%,44.7%
North East and Yorkshire,84H,County Durham,A83610,Wingate Medical Practice Intrahealth (A83610),3344,95.6%,9156,1722,9184,99.7%,18.8%,18.8%
North East and Yorkshire,84H,County Durham,A83616,Bevan Medical Group (A83616),7931,86.3%,21797,6798,21823,99.9%,31.2%,31.2%
North East and Yorkshire,84H,County Durham,A83617,Browney House Surgery (A83617),2598,81.9%,7105,2035,7402,96.0%,28.6%,27.5%
North East and Yorkshire,84H,County Durham,A83618,Oakfields Health Group (A83618),7643,63.8%,15972,5288,21241,75.2%,33.1%,24.9%
North East and Yorkshire,84H,County Durham,A83619,Southdene Medical Centre (A83619),3528,84.6%,9623,3414,9640,99.8%,35.5%,35.4%
North East and Yorkshire,84H,County Durham,A83622,The Haven Surgery (A83622),1699,24.5%,1333,360,4600,29.0%,27.0%,7.8%
North East and Yorkshire,84H,County Durham,A83626,Evenwood Medical Practice (A83626),2142,23.2%,1968,984,5503,35.8%,50.0%,17.9%
North East and Yorkshire,84H,County Durham,A83627,Silverdale Family Practice (A83627),6339,87.2%,12846,5464,12917,99.5%,42.5%,42.3%
North East and Yorkshire,84H,County Durham,A83634,West Cornforth Medical Centre (A83634),2812,99.1%,11250,4870,11261,99.9%,43.3%,43.2%
North East and Yorkshire,84H,County Durham,A83635,Bowburn Medical Centre (A83635),4180,76.4%,7777,2717,7797,99.7%,34.9%,34.8%
North East and Yorkshire,84H,County Durham,A83636,Leadgate Surgery (A83636),6071,80.9%,16824,5032,16917,99.5%,29.9%,29.7%
North East and Yorkshire,84H,County Durham,A83637,Villages Medical Group (A83637),4256,84.8%,9314,2954,9321,99.9%,31.7%,31.7%
